Cue,LeftStim,RightStim,Reward,Choice,PrevChoice,Difficulty,Movement
0.039358,0.030297,0.018971,0.53299,0,0,0.34609,0.032295
0,0.034118,0,0.23749,0.34995,0.14793,0.23051,0
0.022718,0.069729,0.052993,0.43679,0.1368,0,0.25989,0.021083
0.15045,0.025571,0.1792,0.1927,0.12015,0,0.28792,0.044007
0.023332,0.029881,0.47174,0.1081,0.35129,0,0,0.015656
0.044266,0.3516,0.11573,0.45209,0,0,0,0.036307
0.13444,0.033569,0.04682,0.19166,0.2392,0,0.35372,0.00058821
0.096439,0.052309,0.0567,0.61294,0,0.033774,0.14763,0.0002091
0.10393,0.04683,0.027337,0.72361,0.013682,0,0.081469,0.0031463
0.1591,0.25992,0.16669,0.070194,0,0,0.34409,0
0.034713,0.22435,0.28798,0.35253,0.035713,0,0.043247,0.021461
0.39697,0.074297,0.20635,0.16421,0.088042,0.070133,0,0
0,0.011494,0.64762,0.16438,0.056087,0.10404,0.0078607,0.0085182
0.083754,0.25074,0.12157,0.31033,0,0,0.23361,0
0,0.010936,0.068643,0.15429,0.25516,0,0.50185,0.00911
0.19569,0.28837,0.13591,0.23419,0,0.002059,0.10958,0.0342
0.35979,0,0.17885,0.45376,0,0,0,0.007605
0.2501,0.065124,0,0.68478,0,0,0,0
0.45189,0.1333,0.13318,0.21333,0,0,0,0.068306
0.00027695,0.019923,0.031654,0,0.61227,0.33587,0,0
0.048781,0.0090495,0.07316,0.003148,0.76478,0.050478,0.048822,0.0017773
0.17088,0.10988,0.084047,0.15816,0,0,0.37625,0.10078
0,0.2612,0.48808,0,0,0,0,0.25072
0.27156,0.058755,0.12921,0.064613,0.47539,0,0,0.00046846
0.077569,0.36436,0.13148,0.40915,0,0,0,0.017436
0.13649,0,0.019713,0.39908,0,0,0.44472,0
0,0.33311,0.21856,0.43492,0,0,0,0.013413
0.059881,0.35735,0.010118,0.082181,0.35177,0.13871,0,0
0,0.016363,0.71683,0.0084729,0.17593,0,0.082402,0
0.18819,0.2486,0.19064,0.18545,0,0,0.17914,0.00799
0,0.40837,0.23075,0.22462,0,0,0.13497,0.0012925
